"parent","command","UIC","echelon"
"COMSC FAR EAST SINGAPORE","T-AKE 14 USNS CESAR CHAVEZ","29003",5
"COMSC FAR EAST SINGAPORE","T-AO 194 USNS JOHN ERICSSON","21524",5
"COMSC FAR EAST SINGAPORE","T-AO 197 USNS PECOS","21582",5
"COMSC FAR EAST SINGAPORE","T-AO 198 USNA BIG HORN","21621",5
"COMSC FAR EAST SINGAPORE","T-AO 199 USNS TIPPECANOE","21622",5
"COMSC FAR EAST SINGAPORE","T-AO 204 USNS RAPPAHANNOCK","21871",5
"COMSC FAR EAST SINGAPORE","CABLE LAYING/REPAIR SHIP (T-ARC) 7 USNS ZEUS","21323",5
"COMSC FAR EAST SINGAPORE","OCEAN SURVEILLANCE SHIP (T-AGOS) 19 USNS VICTORIOUS","21814",5
"COMSC FAR EAST SINGAPORE","T-AGOS 20 USNS ABLE","21866",5
"COMSC FAR EAST SINGAPORE","T-AGOS 21 USNS EFFECTIVE","21867",5
"COMSC FAR EAST SINGAPORE","T-AGOS 22 USNS LOYAL","21868",5
"COMSC FAR EAST SINGAPORE","T-AGOS 23 USNS IMPECCABLE","21906",5
"COMSC FAR EAST SINGAPORE","T-AGS 62 USNS BOWDITCH","22154",5
"COMSC FAR EAST SINGAPORE","T-AGS 63 USNS HENSON","22266",5
"COMSC FAR EAST SINGAPORE","T-AGS 65 USNS MARY SEARS","23167",5
"COMSC FAR EAST SINGAPORE","MISSILE RANGE INSTRUMENTATION SHIP (T-AGM) 24 USNS INVINCIBLE","21306",5
"COMSC FAR EAST SINGAPORE","T-AGM 25 USNS HOWARD O LORENZEN","10546",5
"COMSC FAR EAST SINGAPORE","T-AK 3008 USNS 2ND LT JOHN P BOBO","21629",5
"COMSC FAR EAST SINGAPORE","T-AK 3009 USNS PFC DEWAYNE T WILLIAMS","21630",5
"COMSC FAR EAST SINGAPORE","T-AK 3010 USNS 1ST LT BALDOMERO LOPEZ","21512",5
"COMSC FAR EAST SINGAPORE","T-AK 3011 USNS 1ST LT JACK LUMMUS","21633",5
"COMSC FAR EAST SINGAPORE","T-AK 3012 USNS SGT WILLIAM R BUTTON","21663",5
"COMSC FAR EAST SINGAPORE","T-AK 3017 USNS GYSGT FRED W STOCKHAM","23069",5
"COMSC FAR EAST SINGAPORE","T-AK 4396 MV MAJ BERNARD F FISHER","23276",5
"COMSC FAR EAST SINGAPORE","T-AK 4543 MV LTC JOHN U D PAGE","23423",5
"COMSC FAR EAST SINGAPORE","T-AK 4544 MV SSG EDWARD A CARTER JR","23424",5
"COMSC FAR EAST SINGAPORE","T-AK 5362 MV CAPT DAVID I LYON","24242",5
"COMSC FAR EAST SINGAPORE","LARGE, MEDIUM-SPEED ROLL ON/ROLL OFF (T-AKR) 302 USNS SEAY","22248",5
"COMSC FAR EAST SINGAPORE","T-AKR 304 USNS PILILAAU","22250",5
"COMSC FAR EAST SINGAPORE","T-AKR 310 USNS WATSON","22256",5
"COMSC FAR EAST SINGAPORE","T-AKR 311 USNS SISLER","22257",5
"COMSC FAR EAST SINGAPORE","T-AKR 312 USNS DAHL","22258",5
"COMSC FAR EAST SINGAPORE","T-AKR 313 USNS RED CLOUD","22259",5
"COMSC FAR EAST SINGAPORE","T-AKR 314 USNS CHARLTON","22260",5
"COMSC FAR EAST SINGAPORE","T-AKR 315 USNS WATKINS","22261",5
"COMSC FAR EAST SINGAPORE","T-AKR 316 USNS POMEROY","22262",5
"COMSC FAR EAST SINGAPORE","T-AKR 317 USNS SODERMAN","22263",5
"COMSC FAR EAST SINGAPORE","OFF SHORE PETROLEUM DISTRIBUTION SYSTEM (T-AG) 5001 VADM K R WHEELER","23881",5
"COMSC FAR EAST SINGAPORE","HIGH SPEED VESSEL (HSV) 4676 WESTPAC EXPRESS","23556",5
"COMSC FAR EAST SINGAPORE","HST 1 USNS GUAM","24046",5
"COMSC FAR EAST SINGAPORE","T-EPF 3 USNS MILLINOCKET","29786",5
"COMSC FAR EAST SINGAPORE","T-EPF 4 USNS FALL RIVER","29787",5
"COMSC FAR EAST SINGAPORE","T-EPF 6 USNS BRUNSWICK","29789",5
"COMSC FAR EAST SINGAPORE","T-AS 40 USS FRANK CABLE (HYBRID CREW)","23950",5
"COMSC FAR EAST SINGAPORE","T-AS 39 USS EMORY S LAND (HYBRID CREW)","23914",5
"COMSC FAR EAST SINGAPORE","ESB-5 USNS MIGUEL KEITH","70026",5
"CHIEF OF NAVAL OPERATIONS","COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","00070",2
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","NAVAL AIR FORCE, U.S. PACIFIC FLEET","57025",3
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMBINED SERVICES SUPPORT SCHOOLS PACIFIC (SVCSUPPSCOLSPAC)","31527",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","FACSFAC SAN DIEGO","09528",4
"FACSFAC SAN DIEGO","FACSFAC PEARL HARBOR","43583",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","VX 9","55646",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","NAVY F35 EGLIN AFB FL","0952A",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","NIMITZ (CVN 68)","03368",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","VINSON (CVN 70)","20993",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","THEODORE ROOSEVELT (CVN 71)","21247",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","ABRAHAM LINCOLN (CVN 72)","21297",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","GEORGE WASHINGTON (CVN 73)","21412",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","JOHN C STENNIS (CVN 74)","21847",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","RONALD REAGAN (CVN 76)","22178",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMCARAIRWING TWO","09742",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMCARAIRWING FIVE","09733",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMCARAIRWING NINE","09738",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMCARAIRWING ELEVEN","09734",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMCARAIRWING SEVENTEEN","09745",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","55635",4
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HELSEACOMBATWEPSCOLPAC","3166A",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 3 FLEET REPLACEMENT SQUADRON (FRS)","09822",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 4","09164",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 6","09950",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 8","09951",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 12","09372",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 14","09209",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 21","42300",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 23","09848",5
"HELICOPTER SEA COMBAT WING PACIFIC (HELSEACOMBATWINGPAC)","HSC 25","52961",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","HELICOPTER MARITIME STRIKE WING PACIFIC","55630",4
"HELICOPTER MARITIME STRIKE WING PACIFIC","HELMARSTRIKEWEPSCOLPAC","3168A",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 35","52876",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 37","53815",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 41 (FRS)","55138",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 49","55152",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 51","48550",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 71","09855",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 73","55146",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 75","53915",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 77","55150",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 78","09886",5
"HELICOPTER MARITIME STRIKE WING PACIFIC","HSM 79","57820",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","NAVAL AVIATION TRAINING SUPPORT GROUP NEW RIVER","36084",4
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","55634",4
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","FLEET LOGISTICS SUPPORT SQUADRON (VRC) 40","09303",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VRC 30","09607",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VUR 10 (ESTAB EFF 1 OCT 2021)","40534",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","AIRBORNE COMMAND & CONTROL SQUADRON (VAW) 113","09459",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 115","09463",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 116","09465",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 117","09985",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 120 (FRS)","09527",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 121","09467",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 123","09477",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 124","09526",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 125","09922",5
"AIRBORNE COMMAND & CONTROL AND LOGISTICS WING (ACCLOGWING)","VAW 126","09963",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","FLEET LOGISTICS MULTI-MISSION WING (VRMWING)","5000A",4
"FLEET LOGISTICS MULTI-MISSION WING (VRMWING)","FLEET LOGISTICS MULTI-MISSION SQUADRON (VRM) 30","36122",5
"FLEET LOGISTICS MULTI-MISSION WING (VRMWING)","VRM 50 (FRS)","4991D",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","STRIKE FIGHTER WING PACIFIC","09520",4
"STRIKE FIGHTER WING PACIFIC","STRIKE FIGHTER WEAPONS SCHOOL PACIFIC","35185",5
"STRIKE FIGHTER WING PACIFIC","VFA 2","09113",5
"STRIKE FIGHTER WING PACIFIC","VFA 14","09084",5
"STRIKE FIGHTER WING PACIFIC","VFA 22","09561",5
"STRIKE FIGHTER WING PACIFIC","VFA 25","09637",5
"STRIKE FIGHTER WING PACIFIC","VFA 27","65185",5
"STRIKE FIGHTER WING PACIFIC","VFA 41","09774",5
"STRIKE FIGHTER WING PACIFIC","VFA 86","09943",5
"STRIKE FIGHTER WING PACIFIC","VFA 94","09295",5
"STRIKE FIGHTER WING PACIFIC","VFA 97","63923",5
"STRIKE FIGHTER WING PACIFIC","VFA 102","09717",5
"STRIKE FIGHTER WING PACIFIC","VFA 113","09092",5
"STRIKE FIGHTER WING PACIFIC","VFA 115","09604",5
"STRIKE FIGHTER WING PACIFIC","VFA 122 (FRS)","09355",5
"STRIKE FIGHTER WING PACIFIC","VFA 136","55141",5
"STRIKE FIGHTER WING PACIFIC","VFA 137","55142",5
"STRIKE FIGHTER WING PACIFIC","VFA 146","09063",5
"STRIKE FIGHTER WING PACIFIC","VFA 151","09558",5
"STRIKE FIGHTER WING PACIFIC","VFA 154","09678",5
"STRIKE FIGHTER WING PACIFIC","VFA","09076",5
"STRIKE FIGHTER WING PACIFIC","VFA 195","09706",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","JOINT STRIKE FIGHTER WING","36203",4
"JOINT STRIKE FIGHTER WING","VFA 125","09485",5
"JOINT STRIKE FIGHTER WING","VFA 147","63925",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","ELECTRONIC ATTACK WING PACIFIC","55627",4
"ELECTRONIC ATTACK WING PACIFIC","ELECTRONIC ATTACK WEAPONS SCHOOL","47445",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 129 (FRS)","09995",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 130","09289",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 131","09364",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 132","09615",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 133","09969",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 134","09970",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 135","09971",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 136","09973",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 137","09996",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 138","09199",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 139","09200",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 140","53806",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 141","53807",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 142","55140",5
"ELECTRONIC ATTACK WING PACIFIC","VAQ 144 (ESTAB EFF 1 OCT 2021)","0999G",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","PATROL AND RECONNAISSANCE GROUP PACIFIC","09517",4
"PATROL AND RECONNAISSANCE GROUP PACIFIC","PATROL AND RECONNAISSANCE WING 10","55165",5
"PATROL AND RECONNAISSANCE WING 10","TOC WHIDBEY ISLAND","45521",6
"TOC WHIDBEY ISLAND","TOC KANEOHE","46029",7
"TOC WHIDBEY ISLAND","MTOC TWO","48765",7
"TOC WHIDBEY ISLAND","MTOC FOUR","31625",7
"TOC WHIDBEY ISLAND","MTOC SIX","49136",7
"TOC WHIDBEY ISLAND","MTOC EIGHT","55700",7
"TOC WHIDBEY ISLAND","MTOC TEN","55701",7
"TOC WHIDBEY ISLAND","MTOC TWELVE","55702",7
"PATROL AND RECONNAISSANCE WING 10","VP 1","09618",6
"PATROL AND RECONNAISSANCE WING 10","VP 4","09623",6
"PATROL AND RECONNAISSANCE WING 10","VP 40","09674",6
"PATROL AND RECONNAISSANCE WING 10","VP 46","09632",6
"PATROL AND RECONNAISSANCE WING 10","VP 47","09600",6
"PATROL AND RECONNAISSANCE WING 10","VP 9","09644",6
"PATROL AND RECONNAISSANCE WING 10","FLEET AIR RECONNAISSANCE SQUADRON (VQ) 1","09930",6
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","STRATEGIC COMMUNICATIONS WING (STRATCOMMWING) ONE","55575",4
"STRATEGIC COMMUNICATIONS WING (STRATCOMMWING) ONE","TAKE CHARGE AND MOVE OUT (TACAMO) WEAPONS SCHOOL","60030",5
"STRATEGIC COMMUNICATIONS WING (STRATCOMMWING) ONE","VQ 3","55154",5
"STRATEGIC COMMUNICATIONS WING (STRATCOMMWING) ONE","VQ 4","42065",5
"STRATEGIC COMMUNICATIONS WING (STRATCOMMWING) ONE","VQ 7 (FRS)","47372",5
"NAVAL AIR FORCE, U.S. PACIFIC FLEET","COMMANDER, FLEET AIR WESTERN PACIFIC (COMFAIRWESTPAC)","09356",4
"COMMANDER, FLEET AIR WESTERN PACIFIC (COMFAIRWESTPAC)","NAVAL AIR WEAPONS MAINTEMAMCE UNIT ONE","52821",5
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","NAVAL SURFACE FORCE U.S. PACIFIC FLEET","53824",3
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","SOMERSET LPD 25","23181",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","LAKE ERIE CG 70","21827",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","BUNKER HILL CG 52","21345",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","MOBILE BAY CG 53","21346",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","LAKE CHAMPLAIN CG 57","21428",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","PRINCETON CG 59","21447",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","COWPENS CG 63","21623",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","BONHOMME RICHARD LHD 6","22202",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","JOHN P MURTHA LPD 26","23182",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","PORTLAND LPD 27","3277A",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","TRIPOLI LHA 7","27501",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","MIGUEL KEITH ESB 5","70026",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","SURFACE DEVELOPMENT SQUADRON ONE","55770",4
"SURFACE DEVELOPMENT SQUADRON ONE","ZUMWALT DDG 1000","20121",5
"SURFACE DEVELOPMENT SQUADRON ONE","MICHAEL MONSOOR DDG 1001","23189",5
"SURFACE DEVELOPMENT SQUADRON ONE","JOHNSON DDG 1002)","41163",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","NAVAL SURFACE GROUP WESTPAC","36139",4
"NAVAL SURFACE GROUP WESTPAC","ANTIETAM CG 54","21387",5
"NAVAL SURFACE GROUP WESTPAC","CHANCELLORSVILLE CG 62","21451",5
"NAVAL SURFACE GROUP WESTPAC","SHILOH CG 67","21657",5
"NAVAL SURFACE GROUP WESTPAC","CURTIS WILBUR DDG 54","21640",5
"NAVAL SURFACE GROUP WESTPAC","JOHN S MCCAIN DDG 56","21686",5
"NAVAL SURFACE GROUP WESTPAC","MUSTIN DDG 89","22997",5
"NAVAL SURFACE GROUP WESTPAC","BENFOLD DDG 65","21940",5
"NAVAL SURFACE GROUP WESTPAC","BARRY DDG 52","21660",5
"NAVAL SURFACE GROUP WESTPAC","MILIUS DDG 69","21943",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 1","0172A",4
"DESTROYER SQUADRON 1","OKANE DDG 77","21951",5
"DESTROYER SQUADRON 1","DEWEY DDG 105","23162",5
"DESTROYER SQUADRON 1","MICHAEL MURPHY DDG 112","55688",5
"DESTROYER SQUADRON 1","FITZGERALDDDG 62","21824",5
"DESTROYER SQUADRON 1","HIGGINS DDG 76","21950",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 7/MARITIME STAFF ELEMENT","0116A",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 9","0118A",4
"DESTROYER SQUADRON 9","SHOUP DDG 86","22994",5
"DESTROYER SQUADRON 9","HOWARD DDG 83","22999",5
"DESTROYER SQUADRON 9","MCCAMPBELL DDG 85","22993",5
"DESTROYER SQUADRON 9","CHAFEE DDG 90","23155",5
"DESTROYER SQUADRON 9","RALPH JOHNSON DDG 114","50125",5
"DESTROYER SQUADRON 9","STERETT DDG 104","23166",5
"DESTROYER SQUADRON 9","HALSEY DDG 97","23154",5
"DESTROYER SQUADRON 9","SAMPSON DDG 102","23161",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 15","0124A",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 21","0130A",4
"DESTROYER SQUADRON 21","DECATUR DDG 73","21947",5
"DESTROYER SQUADRON 21","STOCKDALE DDG 106","23163",5
"DESTROYER SQUADRON 21","CHUNG-HOON DDG 93","23146",5
"DESTROYER SQUADRON 21","TETHEM DDG 63","21825",5
"DESTROYER SQUADRON 21","SPRUANCE DDG 111","55687",5
"DESTROYER SQUADRON 21","GRIDLEY DDG 101","23151",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","DESTROYER SQUADRON 23","0132A",4
"DESTROYER SQUADRON 23","PREBLE DDG 88","22996",5
"DESTROYER SQUADRON 23","RUSSELL DDG 59","21821",5
"DESTROYER SQUADRON 23","RAFAEL PERALTA DDG 115","50126",5
"DESTROYER SQUADRON 23","PINCKNEY DDG 91","23145",5
"DESTROYER SQUADRON 23","KIDD DDG 100","23152",5
"DESTROYER SQUADRON 23","PAUL HAMILTON DDG 60","21822",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","NAVAL SURFACE GROUP MIDDLE PACIFIC","55315",4
"NAVAL SURFACE GROUP MIDDLE PACIFIC","PORT ROYAL CG 73","21830",5
"NAVAL SURFACE GROUP MIDDLE PACIFIC","DESTROYER SQUADRON 31","55528",5
"DESTROYER SQUADRON 31","JOHN PAUL JONES DDG 53","21313",6
"DESTROYER SQUADRON 31","HOPPER DDG 70","21944",6
"DESTROYER SQUADRON 31","MOMSEN DDG 92","23160",6
"DESTROYER SQUADRON 31","WILLIAM P LAWRENCE DDG 110","55686",6
"DESTROYER SQUADRON 31","DANIEL INOUYE DDG 118","50187",6
"DESTROYER SQUADRON 31","WAYNE E MEYER DDG 108","55684",6
"DESTROYER SQUADRON 31","JOHN FINN DDG 113","20010",6
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","LCS SQUADRON 1","39872",4
"LCS SQUADRON 1","FREEDOM LCS 1","20126",5
"LCS SQUADRON 1","INDEPENDENCE LCS 2","20127",5
"LCS SQUADRON 1","FORT WORTH LCS 3","20130",5
"LCS SQUADRON 1","CORONADO LCS 4","20131",5
"LCS SQUADRON 1","MINE DIVISION TWELVE","0091C",5
"MINE DIVISION TWELVE","MANCHESTER LCS 14","20095",6
"MINE DIVISION TWELVE","TULSA LCS 16","20097",6
"MINE DIVISION TWELVE","CHARLESTON LCS 18","20156",6
"MINE DIVISION TWELVE","CINCINNATI LCS 20","20158",6
"LCS SQUADRON 1","KANSAS CITY LCS 22","20160",5
"LCS SQUADRON 1","OAKLAND LCS 24)","20168",5
"LCS SQUADRON 1","MOBILE LCS 26)","20170",5
"LCS SQUADRON 1","SAVANNAH LCS 28)","20172",5
"LCS SQUADRON 1","CANBERRA LCS 30)","20259",5
"LCS SQUADRON 1","SANTA BARBARALCS 32)","20261",5
"LCS SQUADRON 1","AUGUSTA LCS 34)","20263",5
"LCS SQUADRON 1","SURFACE DIVISION 11","50586",5
"SURFACE DIVISION 11","JACKSON LCS 6","20135",6
"SURFACE DIVISION 11","MONTGOMERY LCS 8","20137",6
"SURFACE DIVISION 11","GABRELLE GIFFORDS LCS 10","20139",6
"SURFACE DIVISION 11","OMAHA LCS 12","20141",6
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","BOXER LHD 4","21808",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","BLUE RIDGE LCC 19","05840",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMPHIBIOUS SQUADRON 11","55468",4
"AMPHIBIOUS SQUADRON 11","ASHLAND LSD 48","21531",5
"AMPHIBIOUS SQUADRON 11","GERMANTOWN LSD 42","21639",5
"AMPHIBIOUS SQUADRON 11","GREEN BAY LPD 20","3012A",5
"AMPHIBIOUS SQUADRON 11","FLTSURGTEAM 7","30250",5
"AMPHIBIOUS SQUADRON 11","NEW ORLEANS LPD 18","23168",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMPHIBIOUS SQUADRON 7","55298",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMPHIBIOUS SQUADRON 5","55269",4
"AMPHIBIOUS SQUADRON 5","FLTSURGTEAM 5","49343",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMPHIBIOUS SQUADRON 3","55281",4
"AMPHIBIOUS SQUADRON 3","SAN DIEGO LPD 22","3014A",5
"AMPHIBIOUS SQUADRON 3","PEARL HARBOR LSD 52","21959",5
"AMPHIBIOUS SQUADRON 3","FLTSURGTEAM 1","47418",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","ESSEX LHD 2","21533",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","RUSHMORE LSD 47","21530",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","HARPERS FERRY LSD 49","21852",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","FLTSURGTEAM 9","30265",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","MAKIN ISLAND LHD 8","23171",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMPHIBIOUS SQUADRON 1","55297",4
"AMPHIBIOUS SQUADRON 1","ANCHORAGE LPD 23","3015A",5
"AMPHIBIOUS SQUADRON 1","COMSTOCK LSD 45","21452",5
"AMPHIBIOUS SQUADRON 1","FLTSURGTEAM 3","47420",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AMERICA (AMPHIBIOUS ASSAULT SHIP) LHA 6","20103",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","NAVAL BEACH GROUP 1","57066",4
"NAVAL BEACH GROUP 1","ACU ONE","53257",5
"NAVAL BEACH GROUP 1","ACU FIVE","45411",5
"NAVAL BEACH GROUP 1","BMU ONE","53212",5
"NAVAL BEACH GROUP 1","PHIBCB ONE","55104",5
"NAVAL BEACH GROUP 1","NAVY BEACH (NAVBEACH) UNIT SEVEN","57078",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","TACTICAL AIR CONTROL GROUP 1","09815",4
"TACTICAL AIR CONTROL GROUP 1","TACTICAL AIR CONTRO SQUADRON (VTC) 11","55134",5
"TACTICAL AIR CONTROL GROUP 1","VTC 12","55135",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","COMMANDER, MINE COUNTERMEASURES SQUADRON (COMCMRON) SEVEN","55540",4
"COMMANDER, MINE COUNTERMEASURES SQUADRON (COMCMRON) SEVEN","PATRIOT (MINE COUNTERMEASURES SHIP) MCM 7","21453",5
"COMMANDER, MINE COUNTERMEASURES SQUADRON (COMCMRON) SEVEN","PIONEER MCM 9","21456",5
"COMMANDER, MINE COUNTERMEASURES SQUADRON (COMCMRON) SEVEN","CHIEF MCM 14","21902",5
"COMMANDER, MINE COUNTERMEASURES SQUADRON (COMCMRON) SEVEN","WARRIOR MCM 10","21457",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","COMCMRON FIVE","55645",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","COMCMRON THREE","55554",4
"COMCMRON THREE","COMMANDER MINE COUNTERMEASURES DIVISION (COMCMDIV) THREE ONE","41979",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","AFLOATRAGRU PACIFIC SAN DIEGO","57062",4
"AFLOATRAGRU PACIFIC SAN DIEGO","AFLOATRAGRU SAN DIEGO","49365",5
"AFLOATRAGRU PACIFIC SAN DIEGO","AFLOATRAGRU PACIFIC NORTH WEST","31379",5
"AFLOATRAGRU PACIFIC SAN DIEGO","AFLOATRAGRU MIDPAC","57063",5
"AFLOATRAGRU PACIFIC SAN DIEGO","AFLOATRAGRU WESTPAC","57064",5
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","SURFACE FORCE PACIFIC REP PUGET SOUND","35944",4
"NAVAL SURFACE FORCE U.S. PACIFIC FLEET","REGIONAL SUPPORT ORGANIZATION PACNORWEST","55271",4
